코드,평수,전용면적(㎡),층,건축년도,predicted,predicted price
1138010200,9,29.19,4,2018,"   deposit building          road           dong
0  21000.0    루체비스타     통일로53길 10  서울특별시 은평구 녹번동
1  20000.0    리오하우스   서오릉로4길 19-1  서울특별시 은평구 녹번동
2  22500.0    루체비스타     통일로53길 10  서울특별시 은평구 녹번동
3  16000.0   일광스카이빌  진흥로12나길 1-11  서울특별시 은평구 녹번동
4  27000.0      다원빌      녹번로 66-7  서울특별시 은평구 녹번동",21100
1138010700,11,37.62,2,1987,"   deposit  building         road           dong
0   7500.0  (699-36)    가좌로7다길 16  서울특별시 은평구 응암동
1  11000.0  (747-27)     가좌로5길 20  서울특별시 은평구 응암동
2   8000.0  (746-30)  가좌로7가길 17-4  서울특별시 은평구 응암동
3  11000.0   (578-9)   응암로 235-14  서울특별시 은평구 응암동
4   8500.0  (674-17)    가좌로 176-1  서울특별시 은평구 응암동",8804
1138010400,9,31.15,4,2018,"   deposit building         road           dong
0  22000.0    대한웰빙홈      통일로 925  서울특별시 은평구 갈현동
1  22000.0    대한웰빙홈      통일로 925  서울특별시 은평구 갈현동
2  22500.0     늘솜빌라  갈현로25길 11-9  서울특별시 은평구 갈현동
3  16500.0    동행하이빌  갈현로23길 44-7  서울특별시 은평구 갈현동
4  21000.0    고은명가　   서오릉로18길 13  서울특별시 은평구 갈현동",22078
1138010900,13,43.53,2,2002,"   deposit    building         road           dong
0  15000.0      스위스그린빌  갈현로14길 29-2  서울특별시 은평구 역촌동
1  18500.0    (172-28)  증산로7길 11-13  서울특별시 은평구 증산동
2  11500.0      (20-7)   진흥로1길 55-6  서울특별시 은평구 역촌동
3  15000.0        수목주택     역말로 52-4  서울특별시 은평구 역촌동
4  19000.0  미림타운(1-24)     갈현로4길 38  서울특별시 은평구 신사동",14150
1138010700,9,28.98,6,2018,"   deposit building          road           dong
0  21500.0    MJ평안채    은평로13길 4-1  서울특별시 은평구 응암동
1  21500.0   디우아르떼빌   은평로4길 21-14  서울특별시 은평구 응암동
2  21500.0   디우아르떼빌   은평로4길 21-14  서울특별시 은평구 응암동
3  18500.0    은명빌리지  응암로29길 15-13  서울특별시 은평구 응암동
4  20500.0    보성리엔빌  응암로12길 26-12  서울특별시 은평구 응암동",20937
1138010400,12,40.28,4,2002,"   deposit      building          road           dong
0  14000.0      갈현트윈빌(Ⅱ)  연서로27길 13-15  서울특별시 은평구 갈현동
1   8000.0           드림빌    갈현로47가길 12  서울특별시 은평구 갈현동
2   9000.0  창성빌라(514-12)  갈현로25길 15-10  서울특별시 은평구 갈현동
3  13000.0  대진아트빌(521-9)   갈현로21길 21-5  서울특별시 은평구 갈현동
4  14000.0         예진아트빌   연서로21길 20-6  서울특별시 은평구 갈현동",11773
1138010300,5,18.02,2,2001,"   deposit        building          road           dong
0   6500.0           넥서스타워     통일로82길 15  서울특별시 은평구 불광동
1   6000.0       (391-255)  통일로88가길 10-1  서울특별시 은평구 불광동
2   6500.0       (391-255)  통일로88가길 10-1  서울특별시 은평구 불광동
3   6500.0           행복아트빌   갈현로37길 7-10  서울특별시 은평구 갈현동
4   8500.0  이레빌라트(238-103)       불광로9길 7  서울특별시 은평구 불광동",6906
1138010200,9,30.61,6,2017,"   deposit      building        road           dong
0  23000.0         CS아르체     서오릉로 30  서울특별시 은평구 녹번동
1  20000.0         라임하우스     녹번로6길 8  서울특별시 은평구 녹번동
2  23500.0   주영빌트(167-1)  녹번로1길 19-9  서울특별시 은평구 녹번동
3  17000.0  경인에버빌(151-7)   서오릉로4길 25  서울특별시 은평구 녹번동
4  13800.0        양지스카이뷰   서오릉로 64-9  서울특별시 은평구 녹번동",21661.33333
1138010200,9,28.39,4,2018,"   deposit building       road           dong
0  22000.0    루체비스타  통일로53길 10  서울특별시 은평구 녹번동
1  22500.0    루체비스타  통일로53길 10  서울특별시 은평구 녹번동
2  22500.0    루체비스타  통일로53길 10  서울특별시 은평구 녹번동
3  27000.0      다원빌   녹번로 66-7  서울특별시 은평구 녹번동
4  22500.0    루체비스타  통일로53길 10  서울특별시 은평구 녹번동",22470.7381
1138010300,17,54.57,6,2019,"   deposit building       road           dong
0  28500.0   해드림하우스  연서로 348-1  서울특별시 은평구 불광동
1  31000.0   해드림하우스  연서로 348-1  서울특별시 은평구 불광동
2  26000.0   해드림하우스  연서로 348-1  서울특별시 은평구 불광동
3  28800.0   수성렉스빌　  연서로34길 38  서울특별시 은평구 불광동
4  28800.0   수성렉스빌　  연서로34길 38  서울특별시 은평구 불광동",29320.83333
