코드,평수,전용면적(㎡),층,건축년도,predicted
1135010200,4,14.19,3,2011,"   deposit  pricemon   building        road           dong
0   1000.0        40   MAI BAUM  광운로7길 10-7  서울특별시 노원구 월계동
1   1000.0        40   MAI BAUM  광운로7길 10-7  서울특별시 노원구 월계동
2   1000.0        40   MAI BAUM  광운로7길 10-7  서울특별시 노원구 월계동
3   3000.0        30  J&J HOUSE   석계로13길 40  서울특별시 노원구 월계동
4   1000.0        40   (496-52)  광운로3길 15-4  서울특별시 노원구 월계동"
1135010300,6,18.735,3,2016,"   deposit  pricemon building          road           dong
0   3000.0        50   힐스퀘어A동    공릉로43가길 20  서울특별시 노원구 공릉동
1   2000.0        50   힐스퀘어A동    공릉로43가길 20  서울특별시 노원구 공릉동
2   8000.0        20    644-2      공릉로22길 6  서울특별시 노원구 공릉동
3   1000.0        40     해성빌Y  동일로190길 67-5  서울특별시 노원구 공릉동
4   1500.0        40     해성빌Y  동일로190길 67-5  서울특별시 노원구 공릉동"
1135010400,18,58.77,4,2004,"   deposit  pricemon building         road           dong
0   3000.0        45      월드빌   공릉로58바길 27  서울특별시 노원구 하계동
1   4000.0        40   삼성그린빌라     섬밭로 64-2  서울특별시 노원구 공릉동
2   1500.0        40     스마일룸   동일로179길 36  서울특별시 노원구 공릉동
3    500.0        36    로뎀하우스  공릉로39길 22-5  서울특별시 노원구 공릉동
4  13000.0        20     원터빌A    노원로28길 49  서울특별시 노원구 상계동"
1135010500,4,13.36,2,2013,"   deposit  pricemon  building            road           dong
0    500.0        40     중앙프라자         상계로 146  서울특별시 노원구 상계동
1    300.0        40  (404-16)       상계로17길 52  서울특별시 노원구 상계동
2    500.0        35  (404-16)       상계로17길 52  서울특별시 노원구 상계동
3   5000.0        10      원하우스  동일로237나길 35-12  서울특별시 노원구 상계동
4   1000.0        42    송원레지던스     상계로1길 54-12  서울특별시 노원구 상계동"
1135010300,7,23.21,3,2012,"   deposit  pricemon building           road           dong
0   1000.0        45    엘림오피스    공릉로46가길 9-6  서울특별시 노원구 공릉동
1   8000.0        25     신동타운    공릉로41길 29-2  서울특별시 노원구 공릉동
2   4000.0        45     신동타운    공릉로41길 29-2  서울특별시 노원구 공릉동
3   1000.0        40     한미동산  동일로186길 53-17  서울특별시 노원구 공릉동
4   2000.0        36     수정아트   동일로174길 9-60  서울특별시 노원구 공릉동"
1135010300,7,23.73,2,2016,"   deposit  pricemon   building          road           dong
0   1000.0        40        장가빌    공릉로 152-11  서울특별시 노원구 공릉동
1   1000.0        40        장가빌    공릉로 152-11  서울특별시 노원구 공릉동
2   3000.0        45      명승화운트  동일로180길 47-4  서울특별시 노원구 공릉동
3   1000.0        40      375-9    동일로196길 14  서울특별시 노원구 공릉동
4   1000.0        45  Miga-plus    공릉로41가길 24  서울특별시 노원구 공릉동"
1135010300,4,12.85,4,2013,"   deposit  pricemon       building           road           dong
0   2000.0        30  네모하우스(503-32)   동일로186길 53-6  서울특별시 노원구 공릉동
1    500.0        45       (513-57)  동일로186길 36-20  서울특별시 노원구 공릉동
2   1000.0        40       (585-20)   동일로178길 29-4  서울특별시 노원구 공릉동
3    500.0        34           현대캐슬      공릉로 104-8  서울특별시 노원구 공릉동
4    500.0        37           현대캐슬      공릉로 104-8  서울특별시 노원구 공릉동"
1135010200,4,12.04,4,2011,"   deposit  pricemon   building        road           dong
0   2000.0        35   MAI BAUM  광운로7길 10-7  서울특별시 노원구 월계동
1   1000.0        45   MAI BAUM  광운로7길 10-7  서울특별시 노원구 월계동
2   1000.0        44  J&J HOUSE   석계로13길 40  서울특별시 노원구 월계동
3   1000.0        45       제이타운   석계로13길 44  서울특별시 노원구 월계동
4   2000.0        35  J&J HOUSE   석계로13길 40  서울특별시 노원구 월계동"
1135010200,11,36.51,1,2018,"   deposit  pricemon   building          road           dong
0    500.0        50    (376-7)        광운로 75  서울특별시 노원구 월계동
1   1000.0        40     441-47  공릉로43가길 16-7  서울특별시 노원구 공릉동
2   2000.0        60  (240-228)      노원로1나길 5  서울특별시 노원구 공릉동
3   6500.0        33        진성빌  동일로184길 69-7  서울특별시 노원구 공릉동
4   2000.0        33     청마타운B동     공릉로27길 94  서울특별시 노원구 공릉동"
1135010300,9,29.58,4,2014,"   deposit  pricemon building           road           dong
0   2000.0        50      브니엘  동일로182길 47-35  서울특별시 노원구 공릉동
1  10000.0        30     팰리스가      공릉로 104-9  서울특별시 노원구 공릉동
2   3000.0        60      위드빌   동일로186길 53-4  서울특별시 노원구 공릉동
3   4000.0        52      위드빌   동일로186길 53-4  서울특별시 노원구 공릉동
4   3000.0        35    아트갤러리  동일로178길 29-10  서울특별시 노원구 공릉동"
1135010500,9,29.3,3,1991,"   deposit  pricemon   building           road           dong
0   9000.0         5  삼우아트빌라 2동    노원로28길 57-9  서울특별시 노원구 상계동
1   6800.0        10     생명빌라 A    동일로230나길 13  서울특별시 노원구 상계동
2   3000.0        32  백승빌라 1.2동  동일로242라길 12-5  서울특별시 노원구 상계동
3   1500.0        15  동남빌라 가,나동   덕릉로124길 46-4  서울특별시 노원구 상계동
4   2000.0        45     토양맨션 B     동일로237다길 6  서울특별시 노원구 상계동"
1135010500,14,47.64,2,2000,"   deposit  pricemon       building           road           dong
0   1000.0        57      (1121-14)   동일로242길 51-8  서울특별시 노원구 상계동
1   9000.0        20        이오그린빌 B      노원로32길 34  서울특별시 노원구 상계동
2   2000.0        30          창성빌리지   덕릉로130길 31-2  서울특별시 노원구 상계동
3   2000.0        50  유성빌라(581-214)    상계로1길 62-57  서울특별시 노원구 상계동
4   2000.0        50      (389-664)  한글비석로23길 8-11  서울특별시 노원구 상계동"
1135010300,4,14.67,4,2013,"   deposit  pricemon       building           road           dong
0   1000.0        40           해오름H     공릉로43가길 13  서울특별시 노원구 공릉동
1   1000.0        40       골든HOUSE2     동일로196길 21  서울특별시 노원구 공릉동
2   5000.0        10       (513-57)  동일로186길 36-20  서울특별시 노원구 공릉동
3   1000.0        40         A-LIVE     동일로 1009-9  서울특별시 노원구 공릉동
4   2000.0        30  네모하우스(503-32)   동일로186길 53-6  서울특별시 노원구 공릉동"
1135010500,4,13.36,4,2013,"   deposit  pricemon building       road           dong
0    500.0        45    중앙프라자    상계로 146  서울특별시 노원구 상계동
1    500.0        45    중앙프라자    상계로 146  서울특별시 노원구 상계동
2   1500.0        48     카사밀라   상계로 97-4  서울특별시 노원구 상계동
3   3000.0        25    무지개원룸  상계로 110-1  서울특별시 노원구 상계동
4    500.0        45    무지개원룸  상계로 110-1  서울특별시 노원구 상계동"
