코드,평수,전용면적(㎡),층,건축년도,predicted,predicted price
1130510300,9,29.74,4,2008,"   deposit        building           road           dong
0   8000.0         라온드림하우스   삼양로92길 29-16  서울특별시 강북구 수유동
1  10500.0             미성빌   인수봉로68길 15-8  서울특별시 강북구 수유동
2  10000.0  명진하이빌(469-271)     덕릉로8길 30-7  서울특별시 강북구 수유동
3  12000.0   풀내음파크빌(558-4)     인수봉로 299-2  서울특별시 강북구 수유동
4   8000.0           재원빌라트  인수봉로30길 32-15  서울특별시 강북구 수유동",9313
1130510100,8,27.66,4,2011,"   deposit    building         road           dong
0   8000.0  (791-2798)  솔매로22길 42-1  서울특별시 강북구 미아동
1  15000.0       금강에뜨레  삼양로63길 13-4  서울특별시 강북구 미아동
2  20000.0       문이빌라트   삼양로68가길 11  서울특별시 강북구 미아동
3  10000.0       모던하우스    솔매로22길 24  서울특별시 강북구 미아동
4  11000.0        전망빌라   인수봉로14길 25  서울특별시 강북구 미아동",9875
1130510300,9,29.22,3,2019,"   deposit       building         road           dong
0  21300.0     글로리아캐슬(A동)     덕릉로7길 15  서울특별시 강북구 수유동
1  16000.0            수정빌    노해로23길 32  서울특별시 강북구 수유동
2  19000.0  로민하우스(442-14)   인수봉로52길 50  서울특별시 강북구 수유동
3  21900.0   동아쉐르빌(480-3)  삼양로77길 36-8  서울특별시 강북구 수유동
4  18000.0         참하우스토리   인수봉로61길 18  서울특별시 강북구 수유동",20604
1130510100,25,83.67,1,1987,"   deposit       building      road           dong
0  12000.0             일심  솔매로17길 6  서울특별시 강북구 미아동
1  12000.0             일심  솔매로17길 6  서울특별시 강북구 미아동
2  25000.0  현대빌라(258-554)  오패산로 257  서울특별시 강북구 미아동
3  15000.0         대성그린빌라  오패산로 260  서울특별시 강북구 미아동
4   7000.0         대성그린빌라  오패산로 260  서울특별시 강북구 미아동",14319.5
1130510100,15,49.71,5,2008,"   deposit    building          road           dong
0  15000.0  성일하이츠빌(7차)     삼양로74길 46  서울특별시 강북구 미아동
1  15000.0  성일하이츠빌(7차)     삼양로74길 46  서울특별시 강북구 미아동
2  20000.0       이화아트빌     도봉로41길 57  서울특별시 강북구 미아동
3  12000.0       대성휴먼빌     인수봉로6가길 5  서울특별시 강북구 미아동
4  10000.0       남영아트빌  솔샘로64나길 52-4  서울특별시 강북구 미아동",14533
1130510400,10,32.66,2,1993,"   deposit      building           road           dong
0   8000.0          충무빌라  삼양로155길 15-14  서울특별시 강북구 우이동
1    500.0   한진빌라(40-8)       삼양로 640-6  서울특별시 강북구 우이동
2   8000.0          성보주택   삼양로159가길 8-5  서울특별시 강북구 우이동
3   8500.0  일영하이츠빌라(6-6)     삼양로170길 16  서울특별시 강북구 우이동
4  14000.0          성환빌라     삼양로159길 27  서울특별시 강북구 우이동",5810
1130510300,14,45.08,4,2013,"   deposit      building          road           dong
0  14000.0         성원하이츠    인수봉로55가길 7  서울특별시 강북구 수유동
1  17000.0         선덕그랑빌    인수봉로55길 31  서울특별시 강북구 수유동
2  19000.0  그랜드캐슬(567-1)      4.19로 39  서울특별시 강북구 수유동
3  18000.0          엘리제빌   노해로13길 33-6  서울특별시 강북구 수유동
4  18500.0     중앙하이츠(B동)  인수봉로84길 40-5  서울특별시 강북구 수유동",15280
1130510100,5,15.49,1,2013,"   deposit       building         road           dong
0   2000.0           송산주택   오패산로31길 16  서울특별시 강북구 미아동
1  15000.0  블루빌(791-1227)  삼양로63가길 7-9  서울특별시 강북구 미아동
2  15000.0  블루빌(791-1227)  삼양로63가길 7-9  서울특별시 강북구 미아동
3  15000.0          금강에뜨레  삼양로63길 13-4  서울특별시 강북구 미아동
4  21000.0        경일리치빌3차    솔샘로65길 57  서울특별시 강북구 미아동",9090
1130510300,18,60.24,4,2009,"   deposit        building           road           dong
0  16000.0           우림스타빌  한천로162길 25-12  서울특별시 강북구 수유동
1  10000.0        삼호파크빌11차     인수봉로61길 26  서울특별시 강북구 수유동
2  16000.0  화인하우스(130-143)     노해로9길 60-4  서울특별시 강북구 수유동
3  17000.0     상록수(469-38)       덕릉로8길 17  서울특별시 강북구 수유동
4   3573.0    정빈하이빌(706-2)    노해로33길 88-9  서울특별시 강북구 수유동",15885
1130510300,26,84.94,1,2008,"   deposit building          road           dong
0  23000.0    SH스카이    인수봉로23가길 3  서울특별시 강북구 수유동
1  15000.0     윤진빌라  한천로166길 5-19  서울특별시 강북구 수유동
2  16000.0      한터빌     노해로 123-5  서울특별시 강북구 수유동
3  19200.0   은행빌라A동   수유로21길 3-10  서울특별시 강북구 수유동
4  22200.0   은행빌라A동   수유로21길 3-10  서울특별시 강북구 수유동",16408
