코드,평,전용면적(㎡),층,건축년도,predicted,predicted price
1168010500,10,34.67,2,2002,"   deposit building          road           dong
0  19000.0   뉴그린하우스    삼성로107길 36  서울특별시 강남구 삼성동
1  16000.0  초석씨엘하우징  봉은사로73길 17-8  서울특별시 강남구 삼성동
2  22500.0      로얄빌    봉은사로67길 46  서울특별시 강남구 삼성동
3  17000.0  초석씨엘하우징  봉은사로73길 17-6  서울특별시 강남구 삼성동
4  21000.0    청담아이빌    도산대로99길 15  서울특별시 강남구 청담동",19244.83333
1168010100,12,40.59,3,2013,"   deposit  building         road           dong
0  30000.0     더블유 힐  언주로69길 17-4  서울특별시 강남구 역삼동
1  30000.0    657-27   언주로103길 40  서울특별시 강남구 역삼동
2  26000.0   J&Jvill  언주로69길 23-3  서울특별시 강남구 역삼동
3  43000.0   역삼더힐하우스    논현로64길 31  서울특별시 강남구 역삼동
4  23000.0  (789-26)    역삼로18길 10  서울특별시 강남구 역삼동",28085.25
1168010600,13,44.23,2,2003,"   deposit  building          road           dong
0  27000.0       리츠빌     삼성로69길 33  서울특별시 강남구 대치동
1  25000.0     전망좋은집   선릉로76길 9-14  서울특별시 강남구 대치동
2  20000.0  (894-12)     삼성로81길 28  서울특별시 강남구 대치동
3  15000.0       유니빌  삼성로63길 16-21  서울특별시 강남구 대치동
4  16000.0       창원빌   선릉로64길 10-3  서울특별시 강남구 대치동",23209
1168010800,7,22.72,2,2013,"   deposit       building          road           dong
0  20500.0         (73-7)    도산대로34길 28  서울특별시 강남구 논현동
1  19000.0          더블베이H  봉은사로49길 42-1  서울특별시 강남구 논현동
2  16000.0  논현파크빌(133-72)    학동로6길 6-13  서울특별시 강남구 논현동
3  10500.0       (217-32)    논현로122길 25  서울특별시 강남구 논현동
4  20000.0      BLESSHOME  봉은사로49길 37-7  서울특별시 강남구 논현동",17430
1168010300,13,44.3,4,2003,"   deposit building          road           dong
0  26000.0      모아빌   개포로25길 17-9  서울특별시 강남구 개포동
1  24000.0      세비앙     개포로25길 17  서울특별시 강남구 개포동
2  23500.0      세비앙     개포로25길 17  서울특별시 강남구 개포동
3  23000.0     베네스트  개포로25길 13-10  서울특별시 강남구 개포동
4  25000.0     행복한집    도산대로78길 47  서울특별시 강남구 청담동",25320
1168010300,15,49.22,5,2002,"   deposit      building          road           dong
0  22000.0          장원빌라   선릉로10길 10-8  서울특별시 강남구 개포동
1  22000.0          장원빌라   선릉로10길 10-8  서울특별시 강남구 개포동
2  28000.0  노블레스(1216-8)     개포로24길 11  서울특별시 강남구 개포동
3  30000.0      삼성동다세대주택  영동대로118길 5-6  서울특별시 강남구 삼성동
4  32000.0          삼보빌딩     언주로71길 33  서울특별시 강남구 역삼동",24184.66667
1168010700,8,24.83,2,2002,"   deposit     building         road           dong
0  12000.0          쥬스빌   논현로153길 22  서울특별시 강남구 신사동
1  14000.0        킴스하우스  강남대로154길 34  서울특별시 강남구 신사동
2  12000.0  삼덕빌라(593-1)   논현로160길 16  서울특별시 강남구 신사동
3  17000.0          스타빌  삼성로76길 26-3  서울특별시 강남구 대치동
4  15000.0     (916-46)    삼성로67길 30  서울특별시 강남구 대치동",14315
1168011100,33,108.3435,1,2016,"   deposit     building    road           dong
0  75000.0  강남 효성해링턴 코트  자곡로 36  서울특별시 강남구 세곡동
1  70000.0  강남 효성해링턴 코트  자곡로 36  서울특별시 강남구 세곡동
2  90000.0  강남 효성해링턴 코트  자곡로 36  서울특별시 강남구 세곡동
3  88000.0  강남 효성해링턴 코트  자곡로 36  서울특별시 강남구 세곡동
4  85000.0  강남 효성해링턴 코트  자곡로 36  서울특별시 강남구 세곡동",78549.34524
1168010300,22,71.79,2,2003,"   deposit building       road           dong
0  38000.0   다원하모니빌  개포로22길 50  서울특별시 강남구 개포동
1  33000.0    효성럭스빌  개포로26길 24  서울특별시 강남구 개포동
2  32000.0     드림빌라   논현로2길 15  서울특별시 강남구 개포동
3  32000.0     드림빌라   논현로2길 15  서울특별시 강남구 개포동
4  28000.0     파크타운  개포로20길 49  서울특별시 강남구 개포동",38030
1168010300,12,40.62,-1,1997,"   deposit building         road           dong
0   9000.0     명성빌라  개포로22길 49-7  서울특별시 강남구 개포동
1  20000.0   삼성그린빌라   영동대로 630-7  서울특별시 강남구 삼성동
2   4000.0     셍상스1  논현로16길 20-3  서울특별시 강남구 개포동
3   8000.0     호주빌라    개포로30길 17  서울특별시 강남구 개포동
4  14000.0     파인빌라    삼성로67길 40  서울특별시 강남구 대치동",13771.5
